x,y,height
-46,-34,-3
-46,-33,-3
-46,-32,-3
-46,-31,-4
-46,-30,-4
-46,-29,-4
-46,-28,-4
-46,-27,-4
-46,-26,-4
-46,-25,-5
-46,-24,-5
-46,-23,-5
-46,-22,-5
-46,-21,-5
-46,-20,-4
-46,-19,-4
-46,-18,-3
-46,-17,-3
-46,-16,-3
-46,-15,-3
-46,-14,-3
-46,-13,-3
-46,-12,-3
-46,-11,-3
-46,-10,-3
-46,-9,-3
-46,-8,-3
-46,-7,-4
-46,-6,-5
-46,-5,-5
-46,-4,-5
-46,-3,-5
-46,-2,-5
-46,-1,-4
-46,0,-4
-46,1,-5
-46,2,-5
-46,3,-5
-46,4,-5
-46,5,-5
-46,6,-5
-46,7,-5
-46,8,-5
-46,9,-5
-46,10,-5
-46,11,-4
-46,12,-4
-46,13,-4
-46,14,-4
-46,15,-4
-46,16,-4
-46,17,-4
-46,18,-4
-46,19,-4
-46,20,-4
-46,21,-4
-46,22,-4
-46,23,-4
-46,24,-4
-46,25,-4
-46,26,-4
-46,27,-4
-46,28,-4
-46,29,-4
-46,30,-4
-46,31,-3
-46,32,-3
-46,33,-2
-46,34,-2
-46,35,-1
-46,36,0
-46,37,0
-46,38,0
-46,39,0
-46,40,0
-46,41,-2
-46,42,-3
-46,43,-4
-46,44,-4
-46,45,-4
-46,46,-4
-46,47,-4
-46,48,-4
-46,49,-4
-46,50,-4
-46,51,-4
-46,52,-4
-46,53,-4
-46,54,-4
-46,55,-4
-46,56,-4
-46,57,-4
-46,58,-4
-46,59,-4
-46,60,-4
-45,-54,12
-45,-53,11
-45,-52,9
-45,-51,6
-45,-50,3
-45,-49,2
-45,-48,2
-45,-47,2
-45,-46,2
-45,-45,2
-45,-44,2
-45,-43,2
-45,-42,2
-45,-41,0
-45,-40,-2
-45,-39,-3
-45,-38,-3
-45,-37,-3
-45,-36,-3
-45,-35,-3
-45,-34,-3
-45,-33,-3
-45,-32,-3
-45,-31,-3
-45,-30,-3
-45,-29,-4
-45,-28,-4
-45,-27,-5
-45,-26,-5
-45,-25,-5
-45,-24,-5
-45,-23,-5
-45,-22,-5
-45,-21,-5
-45,-20,-5
-45,-19,-4
-45,-18,-3
-45,-17,-3
-45,-16,-3
-45,-15,-3
-45,-14,-3
-45,-13,-3
-45,-12,-3
-45,-11,-3
-45,-10,-3
-45,-9,-3
-45,-8,-3
-45,-7,-4
-45,-6,-5
-45,-5,-5
-45,-4,-5
-45,-3,-5
-45,-2,-5
-45,-1,-5
-45,0,-5
-45,1,-5
-45,2,-5
-45,3,-5
-45,4,-5
-45,5,-5
-45,6,-5
-45,7,-5
-45,8,-5
-45,9,-5
-45,10,-5
-45,11,-5
-45,12,-5
-45,13,-5
-45,14,-5
-45,15,-4
-45,16,-4
-45,17,-5
-45,18,-5
-45,19,-5
-45,20,-5
-45,21,-5
-45,22,-5
-45,23,-5
-45,24,-5
-45,25,-5
-45,26,-5
-45,27,-5
-45,28,-5
-45,29,-5
-45,30,-5
-45,31,-5
-45,32,-5
-45,33,-5
-45,34,-4
-45,35,-4
-45,36,-4
-45,37,-4
-45,38,-3
-45,39,-3
-45,40,-3
-45,41,-3
-45,42,-3
-45,43,-4
-45,44,-4
-45,45,-4
-45,46,-4
-45,47,-4
-45,48,-4
-45,49,-4
-45,50,-4
-45,51,-4
-45,52,-4
-45,53,-4
-45,54,-4
-45,55,-4
-45,56,-4
-45,57,-4
-45,58,-4
-45,59,-4
-45,60,-4
-44,-55,12
-44,-54,10
-44,-53,6
-44,-52,3
-44,-51,2
-44,-50,2
-44,-49,2
-44,-48,2
-44,-47,2
-44,-46,2
-44,-45,2
-44,-44,2
-44,-43,0
-44,-42,-2
-44,-41,-4
-44,-40,-4
-44,-39,-4
-44,-38,-3
-44,-37,-3
-44,-36,-3
-44,-35,-3
-44,-34,-4
-44,-33,-4
-44,-32,-4
-44,-31,-4
-44,-30,-4
-44,-29,-5
-44,-28,-5
-44,-27,-5
-44,-26,-5
-44,-25,-5
-44,-24,-5
-44,-23,-5
-44,-22,-5
-44,-21,-5
-44,-20,-5
-44,-19,-4
-44,-18,-3
-44,-17,-3
-44,-16,-3
-44,-15,-3
-44,-14,-3
-44,-13,-3
-44,-12,-3
-44,-11,-3
-44,-10,-3
-44,-9,-3
-44,-8,-3
-44,-7,-4
-44,-6,-5
-44,-5,-5
-44,-4,-5
-44,-3,-5
-44,-2,-5
-44,-1,-5
-44,0,-5
-44,1,-5
-44,2,-5
-44,3,-5
-44,4,-5
-44,5,-5
-44,6,-5
-44,7,-5
-44,8,-5
-44,9,-5
-44,10,-5
-44,11,-5
-44,12,-5
-44,13,-5
-44,14,-5
-44,15,-5
-44,16,-5
-44,17,-5
-44,18,-5
-44,19,-5
-44,20,-5
-44,21,-5
-44,22,-5
-44,23,-5
-44,24,-5
-44,25,-5
-44,26,-5
-44,27,-5
-44,28,-5
-44,29,-5
-44,30,-5
-44,31,-5
-44,32,-5
-44,33,-5
-44,34,-5
-44,35,-5
-44,36,-5
-44,37,-5
-44,38,-4
-44,39,-4
-44,40,-4
-44,41,-3
-44,42,-3
-44,43,-3
-44,44,-3
-44,45,-4
-44,46,-4
-44,47,-4
-44,48,-4
-44,49,-4
-44,50,-4
-44,51,-4
-44,52,-4
-44,53,-4
-44,54,-4
-44,55,-4
-44,56,-4
-44,57,-4
-44,58,-4
-44,59,-4
-44,60,-4
-43,-56,11
-43,-55,9
-43,-54,5
-43,-53,2
-43,-52,2
-43,-51,2
-43,-50,2
-43,-49,2
-43,-48,2
-43,-47,2
-43,-46,2
-43,-45,1
-43,-44,-2
-43,-43,-4
-43,-42,-4
-43,-41,-4
-43,-40,-4
-43,-39,-4
-43,-38,-4
-43,-37,-4
-43,-36,-4
-43,-35,-4
-43,-34,-5
-43,-33,-5
-43,-32,-5
-43,-31,-5
-43,-30,-5
